CODE_ID	NAME
686	Slobodan Sijan
687	Iain Softley
688	Dragan Kresoja
689	Lepa Brena
690	Lucrecia Martel
691	Nanni Moretti
692	Roberto Benigni
693	Fazil
694	Jay Russell
695	Walter Grauman
696	Walter E. Grauman
697	Jan de Bont
698	Simon West
699	Frank Kerr
700	Cedric Klapisch
701	Miroslav Lekic
702	Alain Berberian
703	Frederic Forestier
704	Graham Guit
705	Ljubisa Samardzic
706	Robert Luketic
707	Charles Herman-Wurmfeld
708	Peter Peake
709	Sarah Aspinall
710	Renato Castellani
711	Srdjan Dragojevic
712	Christophe Barratier
713	Igor Sekulic
714	P.J. Hogan
715	Hark Tsui
716	Stanley Tong
717	Ted Demme
718	Kimberly Peirce
719	Terry Jones
720	Mark Anthony
721	Michael LaBash
722	Anthony Leondis
723	Dean DeBlois
724	Chris Sanders
725	Chris Sanders (III)
726	Steven Brill
727	Mick Jackson
728	David Semel
729	Catherine Hardwicke
730	Stephen Gyllenhaal
731	Paul Grinder
732	Charlie Haskell
733	Sofia Coppola
734	Robert Benjamin
735	Janusz Kaminski
736	Chris Terrio
737	Jeff Arch
738	Richard Curtis
739	David Elfick
740	Arthur Hiller
741	Peter Cattaneo
742	Peter Mullan
743	Paul Thomas Anderson
744	Milos Radovic
745	John Whitesell
746	Emile Gaudreault
747	Miloš Forman
748	Giuseppe Piccioni
749	Joel Coen
750	Ethan Coen
751	Aki Kaurismaki
752	Ben Elton
753	George Hickenlooper
754	Jacob Aaron Estes
755	Mark Waters (VIII)
756	Barry Skolnick
757	Paul J. Lombardi
758	Brain Trenchard-Smith
759	Barry Sonnenfeld
760	Jon Gunn
761	Joe Berlinger
762	Bruce Sinofsky
763	Jeremy Silberston
764	Bryan Michael Stoller
765	Donald Petrie
766	Lu Chuan
767	Brian DePalma
768	Daniel Mann
769	Terry Gilliam
770	Ken Russell
771	Brad Silberling
772	Baz Luhrmann
773	Petter N泳
774	Doug Liman
775	William Wyler
776	Allan Kenward
777	David Lynch
778	John Fasano
779	Barbet Schroeder
780	Kevin Hooks
781	Bill Corcoran
782	Alan Goluboff
783	Christine Lahti
784	Jean-Marie Poire
785	Bryan Singer
786	Klemen Dvornik
787	Saso Dzukic
788	Joe Carnahan
789	Jag Mundhra
790	Zoe Clarke-Williams
791	Bob Rafelson
792	Sergio Castellitto
793	Akira Kurosawa
794	Malcolm St. Clair
795	Caroline Link
796	Rohan Sippy
797	Vidhu Vinod Chopra
798	Steven Soderbergh
799	Campbell Scott
800	Chan-wook Park
801	Steven Seagal
802	Robert Rodriguez
803	Nathaniel Ryan
804	Harald Zwart
805	Jake Kasdan
806	Michael Cristofer
807	Michael Oblowitz
808	Jevon O'Neill
809	Carl Franklin
810	Wolfgang Petersen
811	Richard Kwietniowski
812	Charles Stone III
813	Joshua Logan
814	Michael D. Moore
815	Thierry Schiel
816	Mimi Leder
817	Ken Cameron
818	Neema Barnette
819	Frank Capra
820	Daniel Algrant
821	Dan Algrant
822	Don Chaffey
823	Alfonso Arau
824	Gore Verbinski
825	Aaron Worth
826	Franklin J. Schaffner
827	Mihailo Vukobratovic
828	Frank Nissen
829	Louis C.K.
830	Damjan Kozole
831	Dominique Deruddere
832	George Griffin
833	John Downer
834	Dusan Kovacevic
835	John Flynn
836	Corey Yuen
837	Alan Lazar
838	Michael Rymer
839	John Mackenzie
840	Frederik Du Chau
841	Frederick Du Chau
842	Nicholas Ray
843	Brett Ratner
844	Bradley Battersby
845	Anthony Hoffman
846	Antony Hoffman
847	John Frankenheimer
848	Boaz Yakin
849	Frank Longo
850	Gerard Pires
851	Penny Marshall
852	Mike Beck
853	Liliana Cavani
854	Paul Brickman
855	Sam Mendes
856	Dylan Kidd
857	Andrzej Bartkowaik
858	Craig R. Baxley
859	John Rich
860	Paul Demeyer
861	Stig Bergqvist
862	William Friedkin
863	Predrag Antonijevic
864	Ben Stiller
865	Clark Johnson
866	Allan Dwan
867	Alice Wu
868	James Wan
869	Keenen Ivory Wayans
870	Marco Petry
871	Jim Stenstrum
872	Gavin Grazer
873	James Seale
874	Doug Pray
875	Wes Craven
876	Roland Emmerich
877	Gary Ross
878	David Koepp
879	Don Mancini
880	Gregory Nava
881	Julian Fellowes
882	Peter Chelsom
883	Reginald Hudlin
884	Charles Winkler
885	Damian Nieman
886	Rich Cowan
887	Gordon Parks
888	John Guillermin
889	David Dobkin
890	Tom Dey
891	Tim Johnson
892	Bibo Bergeron
893	Vicky Jenson
894	Rob Letterman
895	Danny Lerner
896	Billy Ray
897	Simon Cellan Jones
898	Je-Kyu Kang
899	Je-gyu Kang
900	John Patterson
901	Giacomo Battiato
902	Andrew Adamson
903	Kelly Asbury
904	M. Night Shyamalan
905	Andrew Niccol
906	Matthew Warchus
907	Frank Miller
908	Doug Greenall
909	Srdjan Koljevic
910	Adam Bernstein
911	Kevin Downes
912	Dwayne Carey-Hill
913	Srdjan Karanovic
914	Kerry Conran
915	Melanie Mayron
916	Guy Jenkin
917	Srecko Jurdana
918	Hardy Martins
919	Nancy Meyers
920	Bigas Luna
921	Henry Hathaway
922	Darin Ferriola
923	Mars Callahan
924	Jean Renoir
925	James L. Brooks
926	John McNaughton
927	Daryl Duke
928	Fred Niblo
929	David Cronenberg
930	Sam Raimi
